puuid,platform,match_routing
STaIv4vVi5Tq_CdoZYyIzYPrDRFc9SHDQI1nCiVfE6rKMCokv9hs8DAECjVLrAFdNp0-vUZa_KbFzQ,kr,asia
mhrDxE4BVVM9z0RKxmHfFx54DafeYKz-pfWrlWAzOd50qp09RjMyJHvibZg5zBReNksTQHXK6QRjaA,vn2,sea
kWIrjWIkvQhqOUNtFpx3iomUM8Ii45TnQA-WNSl_YzS_sktMnFMbHF9xG3KL_HBaAfwg4Ev9HwCefw,na1,americas
lRcuPAh4eydjh7KVOuAll9jpeQjaMSdT4dTiXvZLmehDntniHDFO2tux3MC7mQE3cKdPoGEf-BLlvQ,na1,americas
0EmNvMDcPROm1tz503SUKJLmohyEPltZ3ku_vbp81mCeGktnt083S-D4g47LKxnsi37nGuV-A8CctQ,vn2,sea
tgTN0Z3wxA2LkQQ9IQEmHXbuXi6-4mmDm5NSiVwRdSxzsrwJpzN629hybf-tbzNpvuMsVzYXkJAfdg,euw1,europe
OcYTRKjyBffPkEDJMXMsxCLAVJxZaGx8I1UcEBfjzH1pmEwfnVWHRkyYZVlImdPhhrC7aB4cF0F38g,na1,americas
8xYcW9riViZBG-RovxedUW6Bhikok28tbUvFfL0Xc3iHt8GZnz3YTbK36yUCdjCyeDl9muGfuGPeCA,na1,americas
BqBdJCol4gGBA-3EwuaVvVMCU5H1YUW3dGeQIwYJrK4pGQv5VxMHRLTWQE3aqhoXKk1RLd7J430Bbg,na1,americas
1dTt-6MFZ2XU9ICqL5pfrCvVpmQez8jAljq4sLqDnkQqxPm2VCw6-5A9AExofBZjzyY-6PfT4x-RRQ,vn2,sea
dGav1qes82y_8yU0oJEMBM7Wkf4ZjHAdAKv0KDHrX56G8Ef205l96YQP1m_OupnKsZ-4UDSBO4-IGQ,na1,americas
Xfsvn7cdAdmASKIXPkSVmgVM9SnyOm0gDPp0jTqRH60ITgqUrXzMMXP3IfyznVimvBVESvDq0VdVng,euw1,europe
qndO1aX_jmlb8iPQwhc80TK_NtJan09u6820DigMidfoADUZHR8Yzk2BdrI3fRNO0qdZQTYbj-GSHg,na1,americas
zDfcK-7IAMGFB5de6iHFbmGchxUNfxvedJfIwNlQX99YyTF2Oxb_i1rlw_VFJfXI7gsO9DopPyrxIQ,na1,americas
Z3cYHo4W73OgOcVRJcz1RheFgwhKwTGWnSWb0Z4-WTtKZARHP16nxBI_Qc0YyM954X2ehN8v1tclIA,kr,asia
mkTiOtSXNNVxMyTBpl7Zrl7NnEPv4vuDt_CRSJPVRsDSriUHtwwaFm5b2EufGnmGXix0jSG2DDnk0g,na1,americas
36fSr0VCsa-OgiqTNtNphKl_Ac9q9HH83MuRuh_ugZAG15yOhsRqMnpLfvDTi4mMHo14BW2Rb-wCzw,kr,asia
CXAJNpQ-rjI_UCa7bFg9P5szLAwivbJdvV4kVlINlLKp61S_1176G54-2-OTpCBNixBSS5k5jn4Iow,vn2,sea
ddn0GdmLYq-ht7lwUHh2-hpSnEMzN3kDovob3OWn293wHBhu5mbdbHRTUfkEdLndFJdYVt1nu_mytg,na1,americas
DrUqfprAoSJriDfj53GyDvQXrU7OnuZem9nfEmFHfkGQAHwRC6vRbJw9_pQ4KixPxCTUcAUnnYDGww,kr,asia
bYxUmS3bpyQGAoNxpHd6NFf4RSAjOAoqU15R9wQD8Lc3KrjnlO_BektlXd32WMehFjVSKQBOP5LBAw,vn2,sea
VNhrjxYuiUS2kptj4IhHcMlwVUpEASBNbMlSAhzWw0sl-lnyvK6Y_Q8kvJly_GOTT76nRiDFpYlvPQ,kr,asia
6wcoUfBPimoTIHcBUW4PESB3Nbn-VL6HoA-OpkGoOURs7Y05SNs0drOepuPCUSS66QTYvH7eSP3mKA,euw1,europe
WyDFQGFj-AN_efEBGxD1hlxsdU0_U2trFPphg_QTxHfb5uWBb2yAY6S5ZjjGFZ6XbMd0gkxH88fJjw,vn2,sea
7XbfhsaWZyLERXLpcjMDSKCLaN1SOfBQXa9rmVSgqUThbw2YmC1De_vxD_-6hWlL7GoV_lmu3XLvJA,vn2,sea
I4znMeZlvDwPUECWAru0vmMgsz1GJCxjNbBa47JIAcTtPoTuyiFo8-VWpCiAvhr46vs-UlNkXkpnGQ,vn2,sea
q1trEGrm8crzrr04_CDs1AlukoVcbdLDzsCgbAPWWJN_rZTYGbj2a7bpV0jwH2uLJvF_N0aT4bP9xw,vn2,sea
T9V79G9fhNtuWnpsYriwTv27jXGREdj7AnkyquS61J271mxJzsDu6O6fcpF1q5U8yoFza3PYkeAbVA,vn2,sea
XOFBB_Wzzmn8EGWvHtAcKYh15nsmTs1SqaNmGrfIIci6fOjTjYCOVHvP9K7xdDtJWnAY98QIq-GFQg,na1,americas
SuxroC-iBlmGSJpKJT5NLoYmy6dI3hTXkfqAvKvmzLSPwNW9N8GruX2of4qJUdu9hyN_jQNO7m98fQ,euw1,europe
