group_type,group,matched_sets,case_win_rate,control_win_rate,risk_difference,risk_difference_ci_low,risk_difference_ci_high
overall,all,20991,0.7728073936448955,0.7320359519159004,0.040771441728994974,0.03432813554355852,0.04721474791443143
team_state,close,4999,0.6325265053010602,0.5283723411348937,0.10415416416616659,0.0866349761325591,0.12167335219977407
team_state,ahead,13983,0.8986626618036186,0.8865884764833488,0.012074185320269859,0.0055310226920118975,0.018617347948527818
team_state,behind,2009,0.2458934793429567,0.16309938609590177,0.08279409324705492,0.05987930972991062,0.10570887676419921
player_state,close,5830,0.7130360205831904,0.662778730703259,0.0502572898799314,0.03698544551752721,0.0635291342423356
player_state,ahead,13610,0.8224834680382072,0.7842640215527797,0.03821944648542739,0.030628273213362363,0.04581061975749242
player_state,behind,1551,0.5615731785944552,0.5340640447023425,0.02750913389211263,0.0014746496158455531,0.0535436181683797
purchase_time_group,after_25m,5429,0.7152330079204273,0.6835819979124454,0.03165101000798183,0.018208495768406642,0.04509352424755702
purchase_time_group,15_to_25m,11198,0.7924629398106805,0.7493302375424183,0.0431327022682622,0.03462353024648695,0.05164187429003745
purchase_time_group,before_15m,4364,0.7939963336388635,0.7479376718606783,0.046058661778185156,0.03177234570992267,0.06034497784644764
lifecycle_group,RETAINED,17507,0.829896612783458,0.7464728394356543,0.08342377334780375,0.07698920090003665,0.08985834579557085
lifecycle_group,SOLD,3484,0.48593570608495984,0.659491006505932,-0.17355530042097206,-0.19357938231239386,-0.15353121852955026
